CONTIG	START	END	GC_CONTENT
chr1	1	250000	0.443708
chr1	250001	500000	0.418652
chr1	500001	750000	0.433950
chr1	750001	1000000	0.513908
chr1	1000001	1250000	0.617632
chr1	1250001	1500000	0.592396
chr1	1500001	1750000	0.558684
chr1	1750001	2000000	0.522700
chr1	2000001	2250000	0.572888
chr1	2250001	2500000	0.598020
chr1	2500001	2750000	0.599111
chr1	2750001	3000000	0.567508
chr1	3000001	3250000	0.571752
chr1	3250001	3500000	0.575916
chr1	3500001	3750000	0.596740
chr1	3750001	4000000	0.514428
chr1	4000001	4250000	0.481552
chr1	4250001	4500000	0.476996
chr1	4500001	4750000	0.499624
chr1	4750001	5000000	0.457792
chr1	5000001	5250000	0.424296
chr1	5250001	5500000	0.479300
chr1	5500001	5750000	0.474408
chr1	5750001	6000000	0.511392
chr1	6000001	6250000	0.553828
chr1	6250001	6500000	0.559380
chr1	6500001	6750000	0.502128
chr1	6750001	7000000	0.449844
chr1	7000001	7250000	0.466940
chr1	7250001	7500000	0.487724
chr1	7500001	7750000	0.520228
chr1	7750001	8000000	0.436328
chr1	8000001	8250000	0.453768
chr1	8250001	8500000	0.462300
chr1	8500001	8750000	0.405388
chr1	8750001	9000000	0.460588
chr1	9000001	9250000	0.497804
chr1	9250001	9500000	0.519704
chr1	9500001	9750000	0.506212
chr1	9750001	10000000	0.482196
chr1	10000001	10250000	0.445812
chr1	10250001	10500000	0.445076
chr1	10500001	10750000	0.511088
chr1	10750001	11000000	0.521392
chr1	11000001	11250000	0.459564
chr1	11250001	11500000	0.504404
chr1	11500001	11750000	0.522236
chr1	11750001	12000000	0.515352
chr1	12000001	12250000	0.513608
chr1	12250001	12500000	0.418536
chr1	12500001	12750000	0.476028
chr1	12750001	13000000	0.452790
chr1	13000001	13250000	0.454657
chr1	13250001	13500000	0.469432
chr1	13500001	13750000	0.444328
chr1	13750001	14000000	0.439688
chr1	14000001	14250000	0.422616
chr1	14250001	14500000	0.425640
chr1	14500001	14750000	0.456144
chr1	14750001	15000000	0.495260
chr1	15000001	15250000	0.495668
chr1	15250001	15500000	0.487024
chr1	15500001	15750000	0.475440
chr1	15750001	16000000	0.476924
chr1	16000001	16250000	0.549628
chr1	16250001	16500000	0.472928
chr1	16500001	16750000	0.477876
chr1	16750001	17000000	0.505260
chr1	17000001	17250000	0.495560
chr1	17250001	17500000	0.499068
chr1	17500001	17750000	0.532168
chr1	17750001	18000000	0.483732
chr1	18000001	18250000	0.494624
chr1	18250001	18500000	0.488696
chr1	18500001	18750000	0.498396
chr1	18750001	19000000	0.508288
chr1	19000001	19250000	0.460132
chr1	19250001	19500000	0.497320
chr1	19500001	19750000	0.476136
chr1	19750001	20000000	0.453392
chr1	20000001	20250000	0.460120
chr1	20250001	20500000	0.494152
chr1	20500001	20750000	0.494176
chr1	20750001	21000000	0.395356
chr1	21000001	21250000	0.426184
chr1	21250001	21500000	0.486100
chr1	21500001	21750000	0.501164
chr1	21750001	22000000	0.519344
chr1	22000001	22250000	0.490736
chr1	22250001	22500000	0.469336
chr1	22500001	22750000	0.515728
chr1	22750001	23000000	0.501676
chr1	23000001	23250000	0.437344
chr1	23250001	23500000	0.456776
chr1	23500001	23750000	0.484308
chr1	23750001	24000000	0.464384
chr1	24000001	24250000	0.485020
chr1	24250001	24500000	0.458568
chr1	24500001	24750000	0.457852
chr1	24750001	25000000	0.475232
chr1	25000001	25250000	0.484120
chr1	25250001	25500000	0.445744
chr1	25500001	25750000	0.490532
chr1	25750001	26000000	0.487808
chr1	26000001	26250000	0.488328
chr1	26250001	26500000	0.490360
chr1	26500001	26750000	0.471396
chr1	26750001	27000000	0.495132
chr1	27000001	27250000	0.491572
chr1	27250001	27500000	0.485412
chr1	27500001	27750000	0.508484
chr1	27750001	28000000	0.458508
chr1	28000001	28250000	0.432616
chr1	28250001	28500000	0.447188
chr1	28500001	28750000	0.473856
chr1	28750001	29000000	0.458612
chr1	29000001	29250000	0.450980
chr1	29250001	29500000	0.491132
chr1	29500001	29750000	0.483281
chr1	29750001	30000000	0.468436
chr1	30000001	30250000	0.478020
chr1	30250001	30500000	0.480840
chr1	30500001	30750000	0.486528
chr1	30750001	31000000	0.484212
chr1	31000001	31250000	0.465268
chr1	31250001	31500000	0.447880
chr1	31500001	31750000	0.510452
chr1	31750001	32000000	0.469052
chr1	32000001	32250000	0.472472
chr1	32250001	32500000	0.478124
chr1	32500001	32750000	0.461440
chr1	32750001	33000000	0.479616
chr1	33000001	33250000	0.462348
chr1	33250001	33500000	0.468800
chr1	33500001	33750000	0.446192
chr1	33750001	34000000	0.458560
chr1	34000001	34250000	0.450240
chr1	34250001	34500000	0.432544
chr1	34500001	34750000	0.444084
chr1	34750001	35000000	0.465164
chr1	35000001	35250000	0.422920
chr1	35250001	35500000	0.402428
chr1	35500001	35750000	0.451200
chr1	35750001	36000000	0.419052
chr1	36000001	36250000	0.474980
chr1	36250001	36500000	0.484052
chr1	36500001	36750000	0.482544
chr1	36750001	37000000	0.496420
chr1	37000001	37250000	0.462504
chr1	37250001	37500000	0.484976
chr1	37500001	37750000	0.475452
chr1	37750001	38000000	0.468684
chr1	38000001	38250000	0.492768
chr1	38250001	38500000	0.430908
chr1	38500001	38750000	0.447648
chr1	38750001	39000000	0.447628
chr1	39000001	39250000	0.446452
chr1	39250001	39500000	0.422016
chr1	39500001	39750000	0.484468
chr1	39750001	40000000	0.480184
chr1	40000001	40250000	0.415604
chr1	40250001	40500000	0.432124
chr1	40500001	40750000	0.441816
chr1	40750001	41000000	0.486668
chr1	41000001	41250000	0.408132
chr1	41250001	41500000	0.503132
chr1	41500001	41750000	0.497704
chr1	41750001	42000000	0.441084
chr1	42000001	42250000	0.414312
chr1	42250001	42500000	0.406852
chr1	42500001	42750000	0.417812
chr1	42750001	43000000	0.458808
chr1	43000001	43250000	0.446512
chr1	43250001	43500000	0.482148
chr1	43500001	43750000	0.498348
chr1	43750001	44000000	0.472804
chr1	44000001	44250000	0.460944
chr1	44250001	44500000	0.449004
chr1	44500001	44750000	0.490172
chr1	44750001	45000000	0.461392
chr1	45000001	45250000	0.417348
