asRNA:CR42738	chr3R	7143486	809	+	1	0,126,116,567
CG42835	chr3R	17420637	352	+	12	0,352
CG42867	chr2R	22665645	500	+	15	0,139,62,299
CG31808	chr2L	16704285	11910	-	21	0,1504,9981,425
CG42716	chr3L	16033777	393	+	14	0,82,68,243
CG42832	chr3L	11610134	252	+	13	0,252
CG42852	chr3L	16755488	232	+	16	0,36,67,129
lncRNA:Yu	chr2R	24498082	587	+	8	0,587
CG42694	chr2R	22941876	3271	+	14	0,1528,56,46,54,143,59,579,60,49,66,134,58,439
CG42789	chr3R	26783608	600	-	15	0,279,63,156,53,49
CG42762	chr2L	8143400	647	-	16	0,534,54,59
CG42780	chrX	7331264	927	-	14	0,246,70,431,55,125
pre-mod(mdg4)-X	chr3R	21365608	3722	+	15	0,2085,216,370,100,951
asRNA:CR42743	chr2L	11531965	2582	-	2	0,1728,183,671
hpRNA:CR18854	chr2L	9787293	3452	-	33	0,1077,412,524,60,249,59,65,51,519,306,130
hpRNA:CR32207	chr3L	19477328	1392	-	14	0,523,55,189,204,421
lncRNA:CR30055	chr2R	12589238	2157	+	9	0,1101,99,957
CG42654	chr3L	19953793	733	-	12	0,81,57,163,51,86,60,36,62,137
CG42656	chr3R	7492960	311	-	14	0,185,56,70
asRNA:CR31514	chr3R	9779518	3175	-	2	0,3175
snoRNA:Or-CD9b	chr2R	24186061	91	+	3	0,91
CG42854	chrX	17245352	1664	-	15	0,701,71,351,53,154,63,271
CG42815	chr3L	17791078	408	-	18	0,408
lncRNA:CR42858	chr3R	9824084	780	-	2	0,657,100,23
CG42806	chr2R	13964652	803	+	15	0,803
pre-mod(mdg4)-U	chr3R	21365608	4641	+	15	0,730,111,312,212,3276
CG42869	chr3R	21736512	337	-	15	0,120,54,163
CG42704	chrX	7412667	629	+	15	0,91,58,90,70,320
CG42697	chr2R	18611644	1086	-	15	0,434,212,136,56,248
CG46457	chr3R	13528596	760	-	11	0,173,62,82,58,119,78,188
CG42688	chr2L	19181964	846	-	13	0,551,61,234
CG42650	chr3R	7391412	868	+	14	0,377,51,123,52,265
CG42703	chr2R	23101231	546	-	14	0,392,58,96
lncRNA:CR32218	chr3L	19895215	1176	-	3	0,1176
CG42846	chr3L	230970	634	-	14	0,515,70,49
pre-mod(mdg4)-W	chr3R	21365608	4641	+	15	0,730,111,760,153,2887
lncRNA:CR42646	chr2R	5363252	4105	+	3	0,243,714,166,79,122,74,555,85,270,59,473,376,269,66,554
CG42766	chrX	15976867	793	+	14	0,226,61,506
CG42740	chr3R	30418766	4205	-	14	0,257,70,3878
CG42690	chr2R	19944262	1615	-	13	0,156,62,151,60,95,53,330,60,157,52,95,47,297
CG42837	chr2R	16197041	2337	+	15	0,1297,146,462,60,372
lncRNA:CR42859	chr2L	2245229	2154	+	4	0,265,50,1839
CG42831	chr3L	10814818	1266	+	13	0,1266
lncRNA:CR42721	chr3R	6767049	12679	+	3	0,227,8572,1634,1762,40,79,365
CG42661	chr3L	7465508	3300	+	13	0,106,55,168,63,129,57,93,67,102,52,168,57,126,67,257,53,59,65,168,57,381,61,177,49,663
CG42662	chr2R	15698725	2971	-	15	0,893,69,1636,55,194,56,68
CG42857	chr3R	9820513	678	-	16	0,439,57,182
CG42819	chr2L	8388727	604	-	14	0,604
CG42866	chr2L	19961223	462	-	14	0,356,59,47
CG42692	chr2L	14008100	720	+	14	0,206,57,457
CG42728	chr3L	15527619	577	-	13	0,577
lncRNA:CR42790	chr3R	26784337	1416	+	3	0,1416
pre-mod(mdg4)-T	chr3R	21360175	1956	+	17	0,379,73,983,59,462
CG42714	chr3L	6233490	566	-	14	0,231,55,168,60,52
CG42711	chr2L	13930321	1041	-	14	0,761,58,222
lncRNA:CR42836	chr3R	20139147	774	-	4	0,395,81,298
CG42855	chr2R	18687371	1270	+	15	0,341,263,34,62,570
CG42727	chr3R	15348047	2344	+	18	0,395,59,1890
lncRNA:CR42861	chrX	13744927	549	+	2	0,549
lncRNA:CR42746	chr2L	12543175	1168	+	3	0,423,341,404
CG42824	chr3R	17406047	464	-	15	0,464
lncRNA:CR42767	chrX	9557538	928	-	2	0,723,62,143
CG42752	chr2L	18739319	791	-	13	0,791
lncRNA:yar	chrX	362398	4674	+	8	0,476,759,478,1884,327,65,685
CG42818	chr2L	16241938	3621	+	22	0,3021,57,138,64,341
asRNA:CR42742	chr2R	22985373	1176	+	2	0,118,62,996
CG42853	chr3L	18120931	1058	-	14	0,446,57,555
pre-mod(mdg4)-Y	chr3R	21365608	2671	+	15	0,2671
pre-mod(mdg4)-AD	chr3R	21365608	2671	+	15	0,2085,216,370
CG42763	chr2L	8144390	717	-	15	0,590,57,70
CG42713	chr2L	8891439	738	+	15	0,146,67,525
B9d2	chr2L	6127871	2780	-	20	0,2109,59,352,71,189
asRNA:CR31144	chr3R	11222413	616	-	2	0,429,57,130
CG42809	chr2L	13457496	577	+	13	0,577
CG42717	chr3L	16032761	429	-	15	0,246,56,127
CG42705	chrX	7413868	794	+	14	0,95,54,645
CG42680	chr2L	14587919	240	-	15	0,240
CG42758	chr3L	14567439	694	+	14	0,44,63,587
CG42659	chr2L	18007359	483	+	14	0,134,54,295
CG42826	chr3L	10099356	1525	-	15	0,1122,103,300
CG42693	chr3R	31707869	471	-	14	0,288,63,120
CG42782	chr2R	12418796	599	-	17	0,599
CG42830	chr2L	17811952	720	-	14	0,720
CG42834	chr3R	17418758	536	+	13	0,536
CG42870	chr3R	21736932	432	-	15	0,189,64,179
CG42779	chr3R	17121576	511	+	13	0,511
CG42847	chr2L	9427869	871	+	15	0,526,54,291
CG42876	chr2L	15810570	1571	-	14	0,1301,58,212
lncRNA:CR42874	chr2L	1989449	1445	+	2	0,392,71,982
CG42822	chr3R	17413900	707	+	17	0,206,67,153,62,219
lncRNA:CR31044	chr3R	29214561	5106	+	16	0,5106
CG42753	chr2R	19635278	663	+	15	0,663
7SLRNA:CR42652	chr3R	6820132	299	-	13	0,299
7SLRNA:CR42652	chr3R	6822497	299	+	13	0,299
CG42682	chr2L	14842357	751	+	14	0,93,82,576
CG42851	chr2R	24809324	783	+	14	0,783
CG42655	chr3L	19952970	742	-	13	0,86,60,163,63,71,49,36,51,163
pre-mod(mdg4)-Z	chr3R	21360175	1956	+	15	0,379,73,983,59,462
CG42759	chr3R	10143069	414	+	16	0,105,55,254
MtnE	chr3R	20534020	684	-	20	0,509,80,95
CG42841	chr3L	2003108	2543	-	14	0,554,1412,577
CG42828	chr3R	23373702	539	+	19	0,76,72,391
CG42649	chr2R	17599388	219	-	14	0,219
asRNA:CR42871	chr3L	14034530	2306	-	4	0,2306
CG42660	chr3L	7465508	3300	+	13	0,106,55,168,63,129,57,93,67,102,52,168,57,126,67,257,53,59,65,168,57,381,61,177,49,663
CG42718	chr3L	16320829	443	-	13	0,286,92,65
CG42811	chr3R	24366526	694	-	15	0,157,52,485
snoRNA:Or-CD9a	chr2R	24185824	96	+	4	0,96
CG42691	chr2R	19945730	1084	-	13	0,433,58,157,51,95,47,243
lncRNA:CR32690	chrX	10204399	890	+	7	0,92,65,733
CG42710	chr2L	8781798	702	-	14	0,702
CG42792	chr2L	15864928	533	-	15	0,322,65,146
Mzt1	chr3L	2389264	386	+	17	0,386
CG42681	chr2L	14744420	397	+	15	0,26,53,318
pre-mod(mdg4)-V	chr3R	21365608	4641	+	15	0,1153,212,236,153,2887
CG42658	chr2L	2287024	909	-	15	0,432,82,81,62,252
CG42798	chr3R	17406677	857	+	17	0,92,214,216,51,284
lncRNA:CR42839	chr3R	16004320	3753	-	3	0,1352,731,1670
CG42751	chr2L	11853429	496	+	15	0,88,74,334
CG42814	chr3R	27228672	796	-	17	0,796
pre-mod(mdg4)-AE	chr3R	21365608	2671	+	15	0,2085,216,370
CG42808	chr2R	13573617	640	-	23	0,640
